ICON,PLU,ITEM NAME,MENU NAME,MENU DESCRIPTION,CATEGORY,SUBCATEGORY,PRICE TIER TYPE,OPTIONAL PRICE,LIMITED AVAILABILITY,ATTRIBUTE BEFORE 1,ATTRIBUTE BEFORE 2,ATTRIBUTE BEFORE 3,ATTRIBUTE AFTER 1,ATTRIBUTE AFTER 2,ATTRIBUTE AFTER 3,STATUS
cutlery,1,Blue Moon,Blue Moon,,Beer,,Beverage Tier,No,No,,,,,,,Active
cutlery,2,Stella Artois,Stella Artois,,Beer,,Beverage Tier,No,No,,,,,,,Active
cutlery,4,Samuel Adams Seasonal,Samuel Adams Seasonal,,Beer,,Beverage Tier,No,No,,,,,,,Active
cutlery,6,Bud Light,Bud Light,,Beer,,Beverage Tier,No,No,,,,,,,Active
cutlery,7,MIller Lite,MIller Lite,,Beer,,Beverage Tier,No,No,,,,,,,Active
cutlery,10,Classic Margarita,Classic Margarita ,"Jose Cuervo Tequila, Premium Orange Liqueur, freshly squeezed lime juice and a salted rim.",Cocktails,,Beverage Tier,No,No,,,,,,,Active
cutlery,11,Pina Colada,Pina Colada,Creamy coconut and a splash of sweet and sour blended to perfection with Pineapple Juice and White Rum.,Cocktails,,Beverage Tier,No,No,,,,,,,Active
cutlery,17,Lemonade,Lemonade,,Soft Drinks,,Beverage Tier,No,No,,,,,,,Active
cutlery,18,Mango Lemonade,Mango Lemonade,,Soft Drinks,,Beverage Tier,No,No,,,,,,,Active
cutlery,19,Strawberry Lemonade,Strawberry Lemonade,,Soft Drinks,,Beverage Tier,No,No,,,,,,,Active
cutlery,20,Fresh Brewed Iced Tea,Fresh Brewed Iced Tea,,Soft Drinks,,Beverage Tier,No,No,,,,,,,Active
cutlery,21,Chips & Queso,Chips & Queso,Smooth and spicy cheese dip. Served with unlimited tortilla chips.,Appetizers ,,Food Tier,No,No,,,,sodium,,,Active
cutlery,22,Spinach Dip,Spinach Dip,"Simmered with sour cream, spices, and four cheeses",Appetizers ,,Food Tier,No,No,,,,,,,Active
cutlery,23,Chicken Wings,Chicken Wings,"Crisp chicken wings with your choice of flavor: Honey BBQ, Mild or Buffalo.",Appetizers ,,Food Tier,No,No,,,,,,,Active
cutlery,24,Loaded Potato Skins,Loaded Potato Skins,"Crispy potato skins melted cheddar and queso, tomatoes, and peppers.",Appetizers ,,Food Tier,No,No,,,,,,,Active
cutlery,25,Mozzarella Sticks,Mozzarella Sticks,Lightly fried and served with a side of marinara sauce.,Appetizers ,,Food Tier,No,No,,,,,,,Active
cutlery,26,Nacho Tower,Nacho Tower,"Tortilla chips topped with Pepper Jack queso, shredded Cheddar cheese, seasoned nacho meat, freshly made pico de gallo and sour cream. ",Appetizers ,,Food Tier,No,No,,,,sodium,,,Active
cutlery,27,Chicken Noodle Soup,Chicken Noodle Soup,"Hearty chicken broth combined with tender pieces of chicken, noodles and vegetables.",Soup,,Food Tier,No,Yes,,,,,,,Active
cutlery,28,New England Clam Chowder Soup,New England Clam Chowder Soup,"Atlantic clams, diced potatoes, vegetables and real bacon simmered in light cream",Soup,,Food Tier,No,Yes,,,,,,,Active
cutlery,29,Baked Potato Soup,Baked Potato Soup,"Tender potatoes with scallions, bacon, cheddar cheese, and sour cream",Soup,,Food Tier,No,No,,,,,,,Active
cutlery,30,Broccoli Cheddar Soup,Broccoli Cheddar Soup,"Chopped broccoli, shredded carrots and select seasonings simmered in a cheese sauce.",Soup,,Food Tier,No,No,,,,,,,Active
cutlery,32,Chicken Tender Salad,Chicken Tender Salad,"Chicken tenders, fresh lettuce, cheddar and jack cheese, tomatoes, carrots and honey mustard dressing",Salad,,Food Tier,No,No,new,,,,,,Active
cutlery,33,Grilled Chicken Pecan Salad,Grilled Chicken Pecan Salad,"Grilled chicken, fresh greens, tomatoes, carrots, cheddar and jack cheese, glazed pecans",Salad,,Food Tier,No,No,featured,,,,,,Active
cutlery,34,Shrimp & Chicken Salad,Shrimp & Chicken Salad,"Blackened shrimp, grilled chicken, fresh greens, tomatoes, carrots, drizzled with bourbon glaze, sweet vinaigrette",Salad,,Food Tier,No,No,,,,sodium,,,Active
cutlery,35,Grilled Chicken Sandwich,Grilled Chicken Sandwich,Seasoned grilled chicken with mozzarella cheese and roasted red peppers on a fresh Kaiser roll.,Sandwiches,,Food Tier,No,No,,,,,,,Active
cutlery,36,Buffalo Chicken Wrap,Buffalo Chicken Wrap,"Buffalo chicken, cabbage, pickles, homemade ranch dressing, wrapped in a flour tortilla",Sandwiches,,Food Tier,No,No,,,,,,,Active
cutlery,37,Turkey Club Sandwich,Turkey Club Sandwich,Thinly sliced roast turkey and thick cut pepper bacon and Swiss and crisp green lettuce and fresh red tomato and creamy mayo.,Sandwiches,,Food Tier,No,No,,,,,,,Active
cutlery,39,Chicken Panini,Chicken Panini,"Seasoned white meat chicken topped with fresh tomatoes, baby spinach, and red onions, drizzled with a creamy sundried tomato sauce, all on sourdough panini bread and grilled to perfection.",Sandwiches,,Food Tier,No,No,,,,,,,Active
cutlery,40,Avocado BLT Sandwich ,Avocado BLT Sandwich ,"Avocado, bacon, lettuce and tomato on a fresh roll",Sandwiches,,Food Tier,No,No,,,,,,,Active
cutlery,41,Philly Cheesesteak ,Philly Cheesesteak ,"Thinly slicked, juicy steak, saut̩ed mushrooms, peppers, onions and melted cheese on toasted hoagie roll.",Sandwiches,,Food Tier,No,No,new,,,,,,Active
